,names,latitude,longitude,num_bikes
0,WESTERN WAY,53.354929,-6.269425,40
1,PRINCES STREET / O'CONNELL STREET,53.349013,-6.260311,23
2,FITZWILLIAM SQUARE WEST,53.336074,-6.252825,30
3,BOLTON STREET,53.351182,-6.269859,20
4,GRANGEGORMAN LOWER (SOUTH),53.354663,-6.278681,40
5,SMITHFIELD,53.347692,-6.278214,30
6,YORK STREET EAST,53.338755,-6.262003,32
7,CLARENDON ROW,53.340927,-6.262501,31
8,ECCLES STREET EAST,53.358115,-6.265601,27
9,KING STREET NORTH,53.350291,-6.273507,30
10,BENSON STREET,53.344153,-6.233451,40
11,GRANGEGORMAN LOWER (CENTRAL),53.355173,-6.278424,40
12,ROTHE ABBEY,53.338776,-6.30395,35
13,CITY QUAY,53.346637,-6.246154,30
14,CLONMEL STREET,53.336021,-6.26298,33
15,FITZWILLIAM SQUARE EAST,53.335211,-6.2509,40
16,EARLSFORT TERRACE,53.334295,-6.258503,30
17,PEARSE STREET,53.344304,-6.250427,30
18,JAMES STREET EAST,53.336597,-6.248109,30
19,JOHN STREET WEST,53.343105,-6.277167,31
20,EXCISE WALK,53.347777,-6.244239,40
21,MOUNTJOY SQUARE EAST,53.356717,-6.256359,40
22,KILMAINHAM LANE,53.341805,-6.305085,30
23,FRANCIS STREET,53.342081,-6.275233,30
24,GRATTAN STREET,53.339629,-6.243778,23
25,HIGH STREET,53.343565,-6.275071,29
26,MERRION SQUARE EAST,53.339434,-6.246548,30
27,HARCOURT TERRACE,53.332763,-6.257942,20
28,HEUSTON BRIDGE (NORTH),53.347802,-6.292432,40
29,LEINSTER STREET SOUTH,53.34218,-6.254485,30
30,GRANGEGORMAN LOWER (NORTH),53.355954,-6.278378,36
31,PORTOBELLO HARBOUR,53.330362,-6.265163,30
32,THE POINT,53.346867,-6.230852,40
33,GEORGES QUAY,53.347508,-6.252192,20
34,BROADSTONE,53.3547,-6.272314,30
35,HEUSTON STATION (CAR PARK),53.346985,-6.297804,40
36,PARNELL SQUARE NORTH,53.3537415547453,-6.26530144781526,20
37,PARNELL STREET,53.350929,-6.265125,20
38,AVONDALE ROAD,53.359405,-6.276142,35
39,YORK STREET WEST,53.339334,-6.264699,40
40,DAME STREET,53.344007,-6.266802,16
41,CHARLEMONT PLACE,53.330662,-6.260177,40
42,HANOVER QUAY EAST,53.343653,-6.231755,40
43,PARKGATE STREET,53.347972,-6.291804,38
44,BROOKFIELD ROAD,53.339005,-6.300217,30
45,TOWNSEND STREET,53.345922,-6.254614,20
46,ST JAMES HOSPITAL (LUAS),53.341359,-6.292951,40
47,SOUTH DOCK ROAD,53.341833,-6.231291,30
48,MOUNT STREET LOWER,53.33796,-6.24153,40
49,GEORGES LANE,53.35023,-6.279696,40
50,BLESSINGTON STREET,53.356769,-6.26814,20
51,SIR PATRICK DUN'S,53.339218,-6.240642,40
52,NORTH CIRCULAR ROAD,53.359624,-6.260348,30
53,MOLESWORTH STREET,53.341288,-6.258117,20
54,EMMET ROAD,53.340714,-6.308191,40
55,HARDWICKE PLACE,53.357043,-6.263232,25
56,MERRION SQUARE SOUTH,53.338614,-6.248606,40
57,TALBOT STREET,53.350974,-6.25294,40
58,ST. STEPHEN'S GREEN EAST,53.337824,-6.256035,40
59,GRAND CANAL DOCK,53.342638,-6.238695,40
60,MOUNTJOY SQUARE WEST,53.356299,-6.258586,30
61,FREDERICK STREET SOUTH,53.341515,-6.256853,40
62,BARROW STREET,53.338311,-6.236779,21
63,GOLDEN LANE,53.340803,-6.267732,20
64,MERRION SQUARE WEST,53.339764,-6.251988,20
65,MOUNT BROWN,53.341645,-6.29719,22
66,CHRISTCHURCH PLACE,53.343368,-6.27012,20
67,HEUSTON BRIDGE (SOUTH),53.347106,-6.292041,25
68,FOWNES STREET UPPER,53.344603,-6.263371,30
69,GREEK STREET,53.346874,-6.272976,20
70,GRANTHAM STREET,53.334123,-6.265436,30
71,WILTON TERRACE,53.332383,-6.252717,20
72,WILTON TERRACE (PARK),53.333653,-6.248345,40
73,DEVERELL PLACE,53.351464,-6.255265,30
74,PHIBSBOROUGH ROAD,53.356307,-6.273717,40
75,RATHDOWN ROAD,53.35893,-6.280337,40
76,LIME STREET,53.346026,-6.243576,40
77,HARDWICKE STREET,53.355473,-6.264423,16
78,HERBERT STREET,53.335742,-6.24551,40
79,BUCKINGHAM STREET LOWER,53.353331,-6.249319,29
80,UPPER SHERRARD STREET,53.358437,-6.260641,30
81,SMITHFIELD NORTH,53.349562,-6.278198,30
82,KILMAINHAM GAOL,53.342113,-6.310015,40
83,MATER HOSPITAL,53.359967,-6.264828,40
84,NEW CENTRAL BANK,53.347122,-6.234749,40
85,FENIAN STREET,53.341428,-6.24672,35
86,ORMOND QUAY UPPER,53.346057,-6.268001,29
87,OLIVER BOND STREET,53.343893,-6.280531,30
88,BLACKHALL PLACE,53.3488,-6.281637,30
89,NEWMAN HOUSE,53.337132,-6.26059,40
90,COLLINS BARRACKS MUSEUM,53.347477,-6.28525,38
91,ST. STEPHEN'S GREEN SOUTH,53.337494,-6.26199,30
92,CATHAL BRUGHA STREET,53.352149,-6.260533,20
93,CUSTOM HOUSE,53.348279,-6.254662,30
94,GUILD STREET,53.347932,-6.240928,40
95,KEVIN STREET,53.337757,-6.267699,40
96,EXCHEQUER STREET,53.343034,-6.263578,24
97,HATCH STREET,53.33403,-6.260714,36
98,JERVIS STREET,53.3483,-6.266651,21
99,ECCLES STREET,53.359246,-6.269779,20
100,ROYAL HOSPITAL,53.343897,-6.29706,40
101,WOLFE TONE STREET,53.348875,-6.267459,29
102,MARKET STREET SOUTH,53.342296,-6.287661,38
103,CONVENTION CENTRE,53.34744,-6.238523,40
104,PORTOBELLO ROAD,53.330091,-6.268044,30
105,NORTH CIRCULAR ROAD (O'CONNELL'S),53.357841,-6.251557,30
106,DENMARK STREET GREAT,53.35561,-6.261397,20
107,HEUSTON STATION (CENTRAL),53.346603,-6.296924,40
108,HERBERT PLACE,53.334432,-6.245575,30
109,CHARLEVILLE ROAD,53.359157,-6.281866,40
110,JAMES STREET,53.343456,-6.287409,40
111,SANDWITH STREET,53.345203,-6.247163,40
112,CUSTOM HOUSE QUAY,53.347884,-6.248048,30
113,HANOVER QUAY,53.344115,-6.237153,40
114,KILLARNEY STREET,53.354845,-6.247579,30
